	Tiếng Việt	Українська	日本語	한국어	UI language name	
149	Chào anh, chúng tôi đang điều tra một bang đảng buôn chất cấm. Chúng tôi có rất nhiều chứng cứ chống lại công ty <companname>, trong đó bạn là người đồng sáng lập. Có thể sẽ có lệnh hầu tòa. Chúng tôi sẽ gặp lại anh sau. ##Có lẽ bạn nên hối lộ?	Добридень. Ми ведемо розслідування з приводу злочинного наркокартеля. У нас є безліч доказів проти компанії <companname>, співвласником якої є ви. Чекайте повістки до суду. До зустрічі. ##Може запропонувати їм хабар?	こんにちは。私たちは麻薬カルテルを捜査しています。あなたが共同経営者となっている会社<companname>に対して多くの証拠を持っています。召喚状が届くのを待ってください。それではまたお会いしましょう。##賄賂を渡したほうがよくないですか？	안녕하세요. 마약 수사반입니다. 귀하가 공동 소유주인 <companname> 사를 수사하면서 물증을 다수 확보한 상태입니다. 곧 영장이 발부될 테니 협조 부탁 드립니다. ##어쩌면 상대를 매수할 수 있지 않을까요?	Police	
150	Bạn không có đủ tiền nên bạn đã rơi vào nợ nần. Hãy nhớ rằng các khoản nợ chỉ tăng theo thời gian, nên hãy trả nhanh hoặc vay nợ mới. Nếu bạn không trả được nợ, tài sản của bạn sẽ bị bán đấu giá.	Вам бракує грошей, тому довелося влізти у борги. Врахуйте, що борг тільки збільшуватиметься з часом, тому поспішіть з його виплатою, або візьміть кредит. Якщо ви не виплачуватимете борг - ваше майно пустять з молотка.	お金が足りないから借金をせざるを得なかったのは分かります。借金は時間が経てば経つほど増えていくものだと心得て、早く返済するかローンを組むようにしましょう。借金を返済しないと資産が競売にかけられます。	돈이 충분하지 않아 부채 상태가 되었습니다. 부채는 시간이 지날수록 점점 늘어나므로 빨리 상환하거나 대출을 받아야 합니다. 부채를 상환하지 않으면 재산이 압류되어 경매로 넘어갑니다.	UI	
151	Chúng tôi xin lỗi, nhưng bạn đang có một khoản nợ chưa trả.	Шкода, але у вас вже є неоплачений кредит.	申し訳ありませんが、あなたにはすでに未払いのローンがあります。	안타깝지만 아직 상환되지 않은 대출이 있습니다.	Bank employer say it	
152	Yoshiro	Йоширо	ヨシロウ	요시로	UI name	
153	Hey, Yoshiro đây! tôi đã đánh hơi được một tin đồn rằng có một công ty sẽ có vốn hóa tăng, có nghĩa giá cổ phiếu ấy sẽ đi lên. Tôi có thể bán cho bạn thông tin này với giá {global.v}. Bạn nhận giao kèo này chứ?	Привіт, це Йоширо! Тут ходять чутки, що одна компанія скоро підніметься в ціні і її акції стануть дорожчі. Я можу з тобою поділитися інформацією за {global.v}. Згода?	どうも、ヨシロウです。ある会社の企業価値が上がりそうで、その会社の株価も高くなるという噂があります。この情報を{global.v}で売ってあげますが、どうです？取引しますか？	안녕하세요, 요시로입니다! 지금 어떤 회사의 기업가치가 절상되면서 주가 상승이 예정되어 있다는 정보가 입수됐어요. {global.v}에 이 정보를 팔게요. 어때요?	Message	
154	Chào, Yoshiro đây! Tôi nghe nói bạn có vấn đề về tài chính. Bạn có muốn sự giúp đỡ từ tôi?	Привіт, це Йоширо! Чув у тебе проблеми з грошима. Допомогти?	どうも、ヨシロウです。お金の問題を抱えているそうですね。お手伝いしましょうか？	안녕하세요, 요시로입니다! 자금 문제를 겪고 계시다던데. 좀 도와드려요?	Message	
155	Chỉ là ai đó gọi nhầm số.	Помилилися номером.	番号違いです。	잘못 걸린 전화다.	In-game message	
156	Công ty <comomo> sẽ thành công! Tôi tin rằng bạn sẽ không hối hận!	Компанію <comomo> чекає успіх! Я упевнений ти не пошкодуєш!	<comomo>社は儲かりますよ。きっと後悔はしないと思いますよ。	<comomo> 사가 실적이 좋대요! 후회하지 않으실 거예요!	Message	
157	Không sao! Tôi đã chuyển một chút tiền vào tài khoản của bạn. Mong rằng điều này sẽ giúp bạn. Bạn không cần phải trả tôi đâu!	Нема питань! Я вже перерахував на твій рахунок невиличку суму. Сподіваюся це допоможе. Нічого натомість не прошу!	大丈夫です！すでにあなたの口座に少額ですが振り込みました。お役に立てれば幸いです。見返りは求めません！	걱정 마세요! 이미 계좌에 넉넉한 금액을 넣어 두었습니다. 도움이 되길 바라요. 보답이요? 아이, 괜찮아요!	Message	
158	Rất hân hạnh khi được làm việc với bạn!	З вами дуже приємно мати справу!	あなたと取引できて光栄です！	즐거운 거래였습니다!	Message	
159	Kazuhara	Казухара	カズハラ	카즈하라	Name	
160	Hey, <surname> đây! Muốn đi xem đua ngựa không?	Привіт, це <surname>! Не бажаєш сходити на іподром?	どうも、<surname>です。競馬場に行ってみたいと思いませんか？	안녕하세요, <surname>입니다! 경마장 가실래요?	Message	
161	Điều đó thật tuyệt!	Чудово!	それはよかった！	멋지네요!	Message	
162	Người lạ	Незнайомець	見知らぬ人	낯선 사람	Ui	
163	Tôi chắc chắn anh sẽ không hối hận! Hàng triệu yên đang chờ đợi chúng ta!	Я упевнений, ти не пошкодуєш! Нас чекають грошики!	決して後悔しませんよ。何百万が私たちを待っています！	후회하지 않으실 거예요! 떼돈 벌러 가자고요!	A line from a stranger	
164	Thật kinh khủng! Bằng chứng này sẽ được ghi lại chờ đợi ngày xét xử.	Що ви коїте?! Це буде приписано у вашу справу. Чекайте суду.	何てことだ！これはあなたの罪状に加えられますよ。裁判の日を待つんですな。	세상에! 이것도 선생님 죄목으로 추가될 겁니다. 재판날만 기다려야겠군요.	Police	
165	Okay, chúng tôi sẽ không làm phiền bạn, tạm thời thôi. Chúng tôi không thể hứa hẹn điều gì. Chúc may mắn.	Гаразд, поки що вас не чіпатимуть. Але я не можу нічого обіцяти. Щасти.	いいでしょう、今のところは邪魔はしません。でも、何も約束できません。 頑張ってください。	알겠어요, 그러면 지금은 귀찮게 하지 않겠습니다. 하지만 아무 보장도 못 드려요. 행운을 빕니다.	Police	
166	Giọng người lạ	Незнайомий голос	奇妙な声	낯선 목소리	UI	
167	Ngươi thực sự tính bán cổ phiếu và rút khỏi kèo làm ăn sao? Điều đó không xảy ra đâu. Nếu ngươi không mua lại phần của mình bao gồm <comomo> nhanh chóng, ngươi sẽ gặp rắc rối lớn đấy. Ngươi đã được cảnh cáo.	Ти серйозно вирішив просто продати свою частку і піти з бізнесу? Хай би не так! Якщо найближчим часом ти не придбаєш знову свою частку в <comomo> назад то на тебе чекають неприємності. Тебе попередили.	ただ株を売って商売から抜けるって本気かい？そうはいかんぞ。 すぐに<comomo>の株を買い戻さないと、あんた大変なことになるよ。忠告したはずだ。	그렇게 싹 다 팔고 발 뺄 수 있을 줄 알았나? 어림도 없는 소리를. <comomo>일 내로 지분을 다시 매입하지 않으면 골치 아프게 될 줄 알아. 난 경고했어.	Yakuza mesage	
168	Tôi rất mừng vì chúng ta đã cùng quan điểm!	Я радий, що ми знайшли спільну мову!	おお、分かってくれたか！	서로 이해하게 되어 참 좋구만!	Yakuza mesage	
169	Chúng tôi rất mừng vì bạn đã tỉnh táo và đưa ra quyết định sáng suốt! Chúng tôi rất mong chờ những cuộc làm ăn sắp tới cùng với bạn!	Ми раді, що ви отямилися і прийняли вірне рішення! Упевнений, ми з вами ще відмінно попрацюємо!	あんたが正気に戻ってまともな判断をしてくれて良かったよ。あんたとはきっといい取引ができるはずだ。	그래, 정신 차리고 제대로 된 결정을 내려서 다행이야! 앞으로도 좋은 동업 해 보자고!	Yakuza mesage	
